New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Approx InterVA5.py line number,Meta: Notes
i004a,,-Id10004,(Id10004) [During which season did (s)he die?],eq,wet,,5,
i004b,,-Id10004,(Id10004) [During which season did (s)he die?],eq,dry,,11,
i019a,,-Id10019,(Id10019) What was the sex of the deceased?,eq,male,,15,
i019b,,-Id10019,(Id10019) What was the sex of the deceased?,eq,female,,21,
i022a,,-ageInYears, Calculated as: int(${ageInDays} div 365.25),ge,65,,31,
i022a,,-age_adult,[Enter adult's age in years:],ge,65,,32,
i022b,,-ageInYears, Calculated as: int(${ageInDays} div 365.25),ge,50,,35,
i022b,,-age_adult,[Enter adult's age in years:],ge,50,,36,
i022c,,-ageInYears, Calculated as: int(${ageInDays} div 365.25),ge,15,,39,
i022c,,-age_adult,[Enter adult's age in years:],ge,15,,40,
i022d,,-ageInYears, Calculated as: int(${ageInDays} div 365.25),ge,5,,43,
i022d,,-age_adult,[Enter adult's age in years:],ge,5,,44,
i022d,,-age_group,[What age group corresponds to the deceased?],eq,child,,47,
i022e,,-ageInYears, Calculated as: int(${ageInDays} div 365.25),ge,1,,51,
i022e,,-age_group,[What age group corresponds to the deceased?],eq,child,,54,
i022f,,-ageInDays, Calculated as: (${Id10023} - ${Id10021}),ge,30.4,,57,
i022f,,-age_group,[What age group corresponds to the deceased?],eq,child,,59,
i022g,,-isNeonatal2," Calculated as: if(${age_group} = 'neonate', '1', '0')",eq,1,,69,
i022g,,-isNeonatal1," Calculated as: if(${ageInDays} <=27, '1', '0')",eq,1,,68,
i022g,,-isNeonatal," Calculated as: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${isNeonatal2}, ${isNeonatal1})",eq,1,,67,
i022h,,-ID10022,,eq,1,,,
i022i,,-displayAgeNeonate,NEONATE was ${ageInDays} days old.,ge,1,,76,
i022j,,-displayAgeNeonate,NEONATE was ${ageInDays} days old.,ge,2,,79,
i022k,,-displayAgeNeonate,NEONATE was ${ageInDays} days old.,ge,7,,82,
i022l,,-Id10019,(Id10019) What was the sex of the deceased?,eq,female,,94,
i022m,,-Id10019,(Id10019) What was the sex of the deceased?,eq,female,,99,
i022n,,-Id10019,(Id10019) What was the sex of the deceased?,eq,female,,104,
i059o,,-Id10059,(Id10059) What was her/his marital status?,eq,married,,108,
i077o,,-Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,118,
i079o,,-Id10079,(Id10079) Was it a road traffic accident?,eq,yes,,123,
i082o,,-Id10082,(Id10082) Was (s)he injured in a non-road transport accident?,eq,yes,,128,
i083o,,-Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,137,
i084o,,-Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,141,
i085o,,-Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,145,
i086o,,-Id10086,(Id10086) Was (s)he injured by a bite or sting by venomous animal?,eq,yes,,150,
i087o,,-Id10087,(Id10087) Was (s)he injured by an animal or insect (non-venomous)?,eq,yes,,155,
i089o,,-Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,162,
i090o,,-Id10090,"(Id10090) Was (s)he subject to violence (suicide, homicide, abuse)?",eq,yes,,167,
i091o,,-Id10091,(Id10091) Was (s)he injured by a firearm?,eq,yes,,172,
i092o,,-Id10092,"(Id10092) Was (s)he stabbed, cut or pierced?",eq,yes,,177,
i093o,,-Id10093,(Id10093) Was (s)he strangled?,eq,yes,,182,
i094o,,-Id10094,(Id10094) Was (s)he injured by a blunt force?,eq,yes,,187,
i095o,,-Id10095,(Id10095) Was (s)he injured by a force of nature?,eq,yes,,192,
i096o,,-Id10096,(Id10096) Was it electrocution?,eq,yes,,197,
i098o,,-Id10098,(Id10098) Was the injury accidental?,eq,yes,,202,
i099o,,-Id10099,(Id10099) Was the injury self-inflicted?,eq,yes,,207,
i100o,,-Id10100,(Id10100) Was the injury intentionally inflicted by someone else?,eq,yes,,212,
i104o,,-Id10104,(Id10104) Did the baby ever cry?,eq,yes,,217,
i105o,,-Id10105,"(Id10105) Did the baby cry immediately after birth, even if only a little bit?",eq,yes,,222,
i106a,,-Id10106,(Id10106) How many minutes after birth did the baby first cry?,gt,5,,227,
i107o,,-Id10107,(Id10107) Did the baby stop being able to cry?,eq,yes,,232,
i108a,,-Id10108,(Id10108) How many hours before death did the baby stop crying?,gt,24,,237,
i109o,,-Id10109,(Id10109) Did the baby ever move?,eq,yes,,242,
i110o,,-Id10110,(Id10110) Did the baby ever breathe?,eq,yes,,247,
i111o,,-Id10111,"(Id10111) Did the baby breathe immediately after birth, even a little?",eq,yes,,251,
i112o,,-Id10112,(Id10112) Did the baby have a breathing problem?,eq,yes,,256,
i113o,,-Id10113,(Id10113) Was the baby given assistance to breathe at birth?,eq,yes,,261,
i114o,,-Id10114,"(Id10114) If the baby didn't show any sign of life, was it born dead?",eq,yes,,266,
i115o,,-Id10115,(Id10115) Were there any bruises or signs of injury on baby's body after the birth?,eq,yes,,271,
i116o,,-Id10116,"(Id10116) Was the baby’s body soft, pulpy and discoloured and the skin peeling away?",eq,yes,,276,
i120a,,-Id10120,"(Id10120) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10120_0}, if(${id10120_unit}='days', ${Id10120_1},if(${id10120_unit}='months', ${Id10121} * 30, ${Id10122} * 365)))",lt,21,,284,
i120a,,-Id10121,(Id10121) Months,lt,1,,286,
